"06:00:00","06:30:00","08/29/2011","Paid Program","","","00:30","","","","",""
"06:30:00","07:00:00","08/29/2011","Paid Program","","","00:30","","","","",""
"07:00:00","07:30:00","08/29/2011","Paid Program","","","00:30","","","","",""
"07:30:00","08:00:00","08/29/2011","Paid Program","","","00:30","","","","",""
"08:00:00","09:00:00","08/29/2011","Fame","Come One, Come All","A big star, Melinda MacNeil, is in town and everyone goes ga-ga, except Monty. Miss Grant offers her to help them put up a school's production, but things get out of hand when she starts making drastic changes that nobody approves of.","01:00","","","","","FAM110"
"09:00:00","09:30:00","08/29/2011","Cristina's Court","Eversole v Adkins","","00:30","","","","","CC3CC101"
"09:30:00","10:00:00","08/29/2011","Cristina's Court","Von v Cusamano","","00:30","","","","","CC3CC102"
"10:00:00","11:00:00","08/29/2011","Model Latina","Concrete Jungle","The eliminations are in full swing as another model says goodbye. With tensions high, the girls give it their all for the next assignment. An Amazon shoot in Harlem! Wild hair and tribal makeup make this one of the sexiest challenges we’ve ever seen!","01:00","","","","","ML303R"
"11:00:00","12:00:00","08/29/2011","Model Latina","Mobile Vixens","Things get catty when an ex-model unexpectedly gets brought back to the competition. Then the girls hit the NYC club scene for a Verizon commercial shoot. Will they be able to share the spotlight when they find out it’s a ‘team challenge’?","01:00","","","","","ML304R2"
"12:00:00","12:30:00","08/29/2011","Breakfast Lunch and Dinner","Black, Brown and Red","Are Latinos and African Americans traitors to their culture if they vote Republican? Celebrity Guests: Adam Rodriguez; Congressman Xavier Becerra","00:30","","","","","BLD309R"
"12:30:00","13:00:00","08/29/2011","Breakfast Lunch and Dinner","Drug Laws","Do drug laws unfairly target inner city drugs like crack, when party or designer drug use gets lighter sentences? Celebrity Guest: Debra Wilson","00:30","","","","","BLD310R"
"13:00:00","14:00:00","08/29/2011","Model Latina","Concrete Jungle","The eliminations are in full swing as another model says goodbye. With tensions high, the girls give it their all for the next assignment. An Amazon shoot in Harlem! Wild hair and tribal makeup make this one of the sexiest challenges we’ve ever seen!","01:00","","","","","ML303R"
"14:00:00","15:00:00","08/29/2011","Model Latina","Mobile Vixens","Things get catty when an ex-model unexpectedly gets brought back to the competition. Then the girls hit the NYC club scene for a Verizon commercial shoot. Will they be able to share the spotlight when they find out it’s a ‘team challenge’?","01:00","","","","","ML304R2"
"15:00:00","16:00:00","08/29/2011","Miami Ink","Hawaii","Miami Ink’s renowned artists, Ami James and Chris Garver, travel to the Hawaiian island of Oahu to meet Keone Nunes, a master of traditional Polynesian tattooing. This trip is both a professional and spiritual journey for Ami and Chris. Keone teaches them about the ancient art of tapping and gives each of them a traditional style tattoo.  The guys also guest artist at a shop in Honolulu, and tattoo six colorful locals. Then friends and professional surfers Sunny Garcia and Rico Jimenez, take them to catch some waves.","01:00","","","","","MI121"
"16:00:00","17:00:00","08/29/2011","Fame","Come One, Come All","A big star, Melinda MacNeil, is in town and everyone goes ga-ga, except Monty. Miss Grant offers her to help them put up a school's production, but things get out of hand when she starts making drastic changes that nobody approves of.","01:00","","","","","FAM110"
"17:00:00","17:30:00","08/29/2011","Cristina's Court","Eversole v Adkins","","00:30","","","","","CC3CC101"
"17:30:00","18:00:00","08/29/2011","Cristina's Court","Von v Cusamano","","00:30","","","","","CC3CC102"
"18:00:00","19:00:00","08/29/2011","Miami Ink","Yoji's Initiation","Ivy gets a cartoon version of herself, though she's not the happiest customer.  Ami and Yoji sit side by side for the first time, and tattoo two best friends that are like sisters.  Tattoo-less Josie comes in to apply for the store manager position.","01:00","","","","","MI201"
"19:00:00","20:00:00","08/29/2011","Miami Ink","Saver vs Spender","Damon drops by to get a tattoo to symbolize his struggle with Type-1 diabetes-something Darren is all too familiar with.    Alexis wants to get inked with a tattoo of a penny in memory of her dad.  But Ami's not in the mood for loose change.","01:00","","","","","MI202"
"20:00:00","21:00:00","08/29/2011","Miami Ink","Hawaii","Miami Ink’s renowned artists, Ami James and Chris Garver, travel to the Hawaiian island of Oahu to meet Keone Nunes, a master of traditional Polynesian tattooing. This trip is both a professional and spiritual journey for Ami and Chris. Keone teaches them about the ancient art of tapping and gives each of them a traditional style tattoo.  The guys also guest artist at a shop in Honolulu, and tattoo six colorful locals. Then friends and professional surfers Sunny Garcia and Rico Jimenez, take them to catch some waves.","01:00","","","","","MI121"
"21:00:00","22:00:00","08/29/2011","Model Latina","Red Hot Pin Up","Watch the girls learn the true meaning of ‘Sin City’ when they hit the strip’s wildest nightclubs. Will one Model Latina contestant take her partying too far? Then it’s off to work at Cirque du Soleil and a sexy 1940’s inspired Pin-Up girl shoot.","01:00","","","","","ML403"
"22:00:00","23:00:00","08/29/2011","Model Latina","Vegas Strip","Snakes & Tigers, oh my! The Model Latinas wrap themselves in a python and face-off with a tiger. The heat rises when a famous celebrity drops in for a visit but…who invited the male stripper?!","01:00","","","","","ML404"
"23:00:00","00:00:00","08/29/2011","Miami Ink","Yoji's Initiation","Ivy gets a cartoon version of herself, though she's not the happiest customer.  Ami and Yoji sit side by side for the first time, and tattoo two best friends that are like sisters.  Tattoo-less Josie comes in to apply for the store manager position.","01:00","","","","","MI201"
"00:00:00","01:00:00","08/29/2011","Model Latina","Red Hot Pin Up","Watch the girls learn the true meaning of ‘Sin City’ when they hit the strip’s wildest nightclubs. Will one Model Latina contestant take her partying too far? Then it’s off to work at Cirque du Soleil and a sexy 1940’s inspired Pin-Up girl shoot.","01:00","","","","","ML403"
"01:00:00","02:00:00","08/29/2011","Model Latina","Vegas Strip","Snakes & Tigers, oh my! The Model Latinas wrap themselves in a python and face-off with a tiger. The heat rises when a famous celebrity drops in for a visit but…who invited the male stripper?!","01:00","","","","","ML404"
"02:00:00","03:00:00","08/29/2011","Miami Ink","Saver vs Spender","Damon drops by to get a tattoo to symbolize his struggle with Type-1 diabetes-something Darren is all too familiar with.    Alexis wants to get inked with a tattoo of a penny in memory of her dad.  But Ami's not in the mood for loose change.","01:00","","","","","MI202"
"03:00:00","03:30:00","08/29/2011","Latino 101","Sex Schoolin'","Nothing is off limits!  Learn about the birds and the bees from LATINO 101’s greatest minds; why your parents yelled at you about 'doing it,' what 'punching donkeys' has to do with animal cruelty and why Dirty Sanchez is a filthy, filthy man!","00:30","","","","","LAT204R"
"03:30:00","04:00:00","08/29/2011","Latino 101","Holidays 101","It's time for Turkeys, Tacos, and trrrrouble! Get educated on all of those holidays we still don’t quite understand. Why do Latinos always end up working on Labor Day? Plus, Cesar Chavez Day conspiracies, and tons more!","00:30","","","","","LAT205R"
"04:00:00","04:30:00","08/29/2011","Paid Program","","","00:30","","","","",""
"04:30:00","05:00:00","08/29/2011","Paid Program","","","00:30","","","","",""
"05:00:00","05:30:00","08/29/2011","Paid Program","","","00:30","","","","",""
"05:30:00","06:00:00","08/29/2011","Paid Program","","","00:30","","","","",""
"06:00:00","06:30:00","08/30/2011","Paid Program","","","00:30","","","","",""
"06:30:00","07:00:00","08/30/2011","Paid Program","","","00:30","","","","",""
"07:00:00","07:30:00","08/30/2011","Paid Program","","","00:30","","","","",""
"07:30:00","08:00:00","08/30/2011","Paid Program","","","00:30","","","","",""
"08:00:00","09:00:00","08/30/2011","Fame","The Crazies","Doris learns that sometimes honest is not always the best policy. She and Montgomery decide to tell only the truth for 24 hours, but the pact will turn out to be a total fiasco. When Shorofsky is hospitalized, Bruno realizes that he is important to his life. When Miss Sherwood learns that Miss Grant doesn't believe that her newest plan, an Africal Tribal dance, will suceed, she asks Leroy to help her.","01:00","","","","","FAM111"
"09:00:00","09:30:00","08/30/2011","Cristina's Court","Baker v Golden","","00:30","","","","","CC3CC103"
"09:30:00","10:00:00","08/30/2011","Cristina's Court","Butler v Brown & Nicholson","","00:30","","","","","CC3CC104"
"10:00:00","11:00:00","08/30/2011","Model Latina","Red Hot Pin Up","Watch the girls learn the true meaning of ‘Sin City’ when they hit the strip’s wildest nightclubs. Will one Model Latina contestant take her partying too far? Then it’s off to work at Cirque du Soleil and a sexy 1940’s inspired Pin-Up girl shoot.","01:00","","","","","ML403"
"11:00:00","12:00:00","08/30/2011","Model Latina","Vegas Strip","Snakes & Tigers, oh my! The Model Latinas wrap themselves in a python and face-off with a tiger. The heat rises when a famous celebrity drops in for a visit but…who invited the male stripper?!","01:00","","","","","ML404"
"12:00:00","12:30:00","08/30/2011","Styleyes","Tourist Miami","","00:30","Variety","","Fashion,Magazine,Variety","Fashion,Magazine,Variety","SE303R"
"12:30:00","13:00:00","08/30/2011","Styleyes","Fad: Food, Art, Design","Kelly and Stephanie cook Cuban style.","00:30","Variety","","Fashion,Magazine,Variety","Fashion,Magazine,Variety","SE205R"
"13:00:00","14:00:00","08/30/2011","Model Latina","Red Hot Pin Up","Watch the girls learn the true meaning of ‘Sin City’ when they hit the strip’s wildest nightclubs. Will one Model Latina contestant take her partying too far? Then it’s off to work at Cirque du Soleil and a sexy 1940’s inspired Pin-Up girl shoot.","01:00","","","","","ML403"
"14:00:00","15:00:00","08/30/2011","Model Latina","Vegas Strip","Snakes & Tigers, oh my! The Model Latinas wrap themselves in a python and face-off with a tiger. The heat rises when a famous celebrity drops in for a visit but…who invited the male stripper?!","01:00","","","","","ML404"
"15:00:00","16:00:00","08/30/2011","Miami Ink","Woman in a Man's World","Nunez tattoos Dalia with a memorial piece for her father, who died in the line of duty in Afghanistan.  Darren gives Sussan, a fellow graffiti artist, a tattoo of one of her pieces.  Garver creates a Japanese style snake for Greg, a local club owner.","01:00","","","","","MI203"
"16:00:00","17:00:00","08/30/2011","Fame","The Crazies","Doris learns that sometimes honest is not always the best policy. She and Montgomery decide to tell only the truth for 24 hours, but the pact will turn out to be a total fiasco. When Shorofsky is hospitalized, Bruno realizes that he is important to his life. When Miss Sherwood learns that Miss Grant doesn't believe that her newest plan, an Africal Tribal dance, will suceed, she asks Leroy to help her.","01:00","","","","","FAM111"
"17:00:00","17:30:00","08/30/2011","Cristina's Court","Baker v Golden","","00:30","","","","","CC3CC103"
"17:30:00","18:00:00","08/30/2011","Cristina's Court","Butler v Brown & Nicholson","","00:30","","","","","CC3CC104"
"18:00:00","19:00:00","08/30/2011","Miami Ink","The Ultimate Job Interview","The guys play a prank on their latest shop manager applicant, Joel. They have their friend Joey pose as a bookie, come into the shop and confiscate Nunez's stuff. Will Joel crack under the pressure?","01:00","","","","","MI204"
