6:00:00,6:30:00,8/29/2011,Paid Program,,,0:30,,,,,
6:30:00,7:00:00,8/29/2011,Paid Program,,,0:30,,,,,
7:00:00,7:30:00,8/29/2011,Paid Program,,,0:30,,,,,
7:30:00,8:00:00,8/29/2011,Paid Program,,,0:30,,,,,
8:00:00,9:00:00,8/29/2011,Fame,"Come One, Come All","A big star, Melinda MacNeil, is in town and everyone goes ga-ga, except Monty. Miss Grant offers her to help them put up a school's production, but things get out of hand when she starts making drastic changes that nobody approves of.",1:00,,,,,FAM110
9:00:00,9:30:00,8/29/2011,Cristina's Court,Eversole v Adkins,,0:30,,,,,CC3CC101
9:30:00,10:00:00,8/29/2011,Cristina's Court,Von v Cusamano,,0:30,,,,,CC3CC102
10:00:00,11:00:00,8/29/2011,Model Latina,Concrete Jungle,"The eliminations are in full swing as another model says goodbye. With tensions high, the girls give it their all for the next assignment. An Amazon shoot in Harlem! Wild hair and tribal makeup make this one of the sexiest challenges we’ve ever seen!",1:00,,,,,ML303R
11:00:00,12:00:00,8/29/2011,Model Latina,Mobile Vixens,Things get catty when an ex-model unexpectedly gets brought back to the competition. Then the girls hit the NYC club scene for a Verizon commercial shoot. Will they be able to share the spotlight when they find out it’s a ‘team challenge’?,1:00,,,,,ML304R2
12:00:00,12:30:00,8/29/2011,Breakfast Lunch and Dinner,"Black, Brown and Red",Are Latinos and African Americans traitors to their culture if they vote Republican? Celebrity Guests: Adam Rodriguez; Congressman Xavier Becerra,0:30,,,,,BLD309R
12:30:00,13:00:00,8/29/2011,Breakfast Lunch and Dinner,Drug Laws,"Do drug laws unfairly target inner city drugs like crack, when party or designer drug use gets lighter sentences? Celebrity Guest: Debra Wilson",0:30,,,,,BLD310R
13:00:00,14:00:00,8/29/2011,Model Latina,Concrete Jungle,"The eliminations are in full swing as another model says goodbye. With tensions high, the girls give it their all for the next assignment. An Amazon shoot in Harlem! Wild hair and tribal makeup make this one of the sexiest challenges we’ve ever seen!",1:00,,,,,ML303R
14:00:00,15:00:00,8/29/2011,Model Latina,Mobile Vixens,Things get catty when an ex-model unexpectedly gets brought back to the competition. Then the girls hit the NYC club scene for a Verizon commercial shoot. Will they be able to share the spotlight when they find out it’s a ‘team challenge’?,1:00,,,,,ML304R2
15:00:00,16:00:00,8/29/2011,Miami Ink,Hawaii,"Miami Ink’s renowned artists, Ami James and Chris Garver, travel to the Hawaiian island of Oahu to meet Keone Nunes, a master of traditional Polynesian tattooing. This trip is both a professional and spiritual journey for Ami and Chris. Keone teaches them about the ancient art of tapping and gives each of them a traditional style tattoo.  The guys also guest artist at a shop in Honolulu, and tattoo six colorful locals. Then friends and professional surfers Sunny Garcia and Rico Jimenez, take them to catch some waves.",1:00,,,,,MI121
16:00:00,17:00:00,8/29/2011,Fame,"Come One, Come All","A big star, Melinda MacNeil, is in town and everyone goes ga-ga, except Monty. Miss Grant offers her to help them put up a school's production, but things get out of hand when she starts making drastic changes that nobody approves of.",1:00,,,,,FAM110
17:00:00,17:30:00,8/29/2011,Cristina's Court,Eversole v Adkins,,0:30,,,,,CC3CC101
17:30:00,18:00:00,8/29/2011,Cristina's Court,Von v Cusamano,,0:30,,,,,CC3CC102
18:00:00,19:00:00,8/29/2011,Miami Ink,Yoji's Initiation,"Ivy gets a cartoon version of herself, though she's not the happiest customer.  Ami and Yoji sit side by side for the first time, and tattoo two best friends that are like sisters.  Tattoo-less Josie comes in to apply for the store manager position.",1:00,,,,,MI201
19:00:00,20:00:00,8/29/2011,Miami Ink,Saver vs Spender,Damon drops by to get a tattoo to symbolize his struggle with Type-1 diabetes-something Darren is all too familiar with.    Alexis wants to get inked with a tattoo of a penny in memory of her dad.  But Ami's not in the mood for loose change.,1:00,,,,,MI202
